gMLP	SVR	SPLS	XGBoost	BayesA
Zm00001d030009	Zm00001d029663	Zm00001d029697	Zm00001d028759	Zm00001d029603
Zm00001d030014	Zm00001d029673	Zm00001d029736	Zm00001d028770	Zm00001d029618
Zm00001d030016	Zm00001d029675	Zm00001d029747	Zm00001d028804	Zm00001d029674
Zm00001d030094	Zm00001d029697	Zm00001d029764	Zm00001d028809	Zm00001d029688
Zm00001d030095	Zm00001d029726	Zm00001d029818	Zm00001d028813	Zm00001d029697
Zm00001d030110	Zm00001d029758	Zm00001d029840	Zm00001d028836	Zm00001d029736
Zm00001d030121	Zm00001d029801	Zm00001d029852	Zm00001d028867	Zm00001d029747
Zm00001d030123	Zm00001d029806	Zm00001d029868	Zm00001d028868	Zm00001d029758
Zm00001d030126	Zm00001d029809	Zm00001d029888	Zm00001d028875	Zm00001d029762
Zm00001d030129	Zm00001d029818	Zm00001d029889	Zm00001d028885	Zm00001d029809
Zm00001d030157	Zm00001d029829	Zm00001d029898	Zm00001d028890	Zm00001d029818
Zm00001d030163	Zm00001d029849	Zm00001d029903	Zm00001d028915	Zm00001d029832
Zm00001d030164	Zm00001d029852	Zm00001d029938	Zm00001d028918	Zm00001d029833
Zm00001d030193	Zm00001d029868	Zm00001d030004	Zm00001d028931	Zm00001d029849
Zm00001d030194	Zm00001d029879	Zm00001d030009	Zm00001d028974	Zm00001d029852
Zm00001d030207	Zm00001d029886	Zm00001d030023	Zm00001d028995	Zm00001d029868
Zm00001d030208	Zm00001d029887	Zm00001d030094	Zm00001d029048	Zm00001d029888
Zm00001d030248	Zm00001d029907	Zm00001d030138	Zm00001d029059	Zm00001d029889
Zm00001d030269	Zm00001d029923	Zm00001d030164	Zm00001d029098	Zm00001d029898
Zm00001d030316	Zm00001d029973	Zm00001d030193	Zm00001d029120	Zm00001d029903
Zm00001d030323	Zm00001d029996	Zm00001d030207	Zm00001d029165	Zm00001d029919
Zm00001d030366	Zm00001d029999	Zm00001d030208	Zm00001d029184	Zm00001d029932
Zm00001d030381	Zm00001d030007	Zm00001d030218	Zm00001d029211	Zm00001d029933
Zm00001d030421	Zm00001d030009	Zm00001d030248	Zm00001d029212	Zm00001d029938
Zm00001d030523	Zm00001d030010	Zm00001d030717	Zm00001d029226	Zm00001d030004
Zm00001d030527	Zm00001d030068	Zm00001d030760	Zm00001d029272	Zm00001d030007
Zm00001d030544	Zm00001d030069	Zm00001d030784	Zm00001d029313	Zm00001d030009
Zm00001d030549	Zm00001d030130	Zm00001d030786	Zm00001d029343	Zm00001d030016
Zm00001d030556	Zm00001d030152	Zm00001d030863	Zm00001d029353	Zm00001d030068
Zm00001d030567	Zm00001d030159	Zm00001d030995	Zm00001d029383	Zm00001d030069
Zm00001d030572	Zm00001d030194	Zm00001d030996	Zm00001d029420	Zm00001d030094
Zm00001d030584	Zm00001d030207	Zm00001d031059	Zm00001d029448	Zm00001d030095
Zm00001d030588	Zm00001d030208	Zm00001d031077	Zm00001d029451	Zm00001d030133
Zm00001d030591	Zm00001d030218	Zm00001d031115	Zm00001d029462	Zm00001d030138
Zm00001d030659	Zm00001d030233	Zm00001d031163	Zm00001d029464	Zm00001d030149
Zm00001d030661	Zm00001d030266	Zm00001d031326	Zm00001d029488	Zm00001d030163
Zm00001d030688	Zm00001d030269	Zm00001d031345	Zm00001d029498	Zm00001d030164
Zm00001d030690	Zm00001d030282	Zm00001d031379	Zm00001d029504	Zm00001d030167
Zm00001d030691	Zm00001d030299	Zm00001d031427	Zm00001d029523	Zm00001d030181
Zm00001d030694	Zm00001d030308	Zm00001d031437	Zm00001d029527	Zm00001d030183
Zm00001d030701	Zm00001d030323	Zm00001d031439	Zm00001d029566	Zm00001d030193
Zm00001d030717	Zm00001d030421	Zm00001d031445	Zm00001d029688	Zm00001d030207
Zm00001d030733	Zm00001d030496	Zm00001d031471	Zm00001d029711	Zm00001d030208
Zm00001d030739	Zm00001d030583	Zm00001d031473	Zm00001d029745	Zm00001d030218
Zm00001d030744	Zm00001d030623	Zm00001d031489	Zm00001d029809	Zm00001d030222
Zm00001d030760	Zm00001d030627	Zm00001d031494	Zm00001d029818	Zm00001d030248
Zm00001d030770	Zm00001d030688	Zm00001d031647	Zm00001d029840	Zm00001d030270
Zm00001d030784	Zm00001d030744	Zm00001d031651	Zm00001d029849	Zm00001d030323
Zm00001d030786	Zm00001d030790	Zm00001d031660	Zm00001d029868	Zm00001d030513
Zm00001d030796	Zm00001d030814	Zm00001d031684	Zm00001d029887	Zm00001d030523
Zm00001d030814	Zm00001d030851	Zm00001d031700	Zm00001d029903	Zm00001d030526
Zm00001d030819	Zm00001d030863	Zm00001d031720	Zm00001d029906	Zm00001d030556
Zm00001d030863	Zm00001d030916	Zm00001d031723	Zm00001d029924	Zm00001d030567
Zm00001d030877	Zm00001d030954	Zm00001d031749	Zm00001d029932	Zm00001d030572
Zm00001d030895	Zm00001d030969	Zm00001d031783	Zm00001d029933	Zm00001d030591
Zm00001d030900	Zm00001d030995	Zm00001d031817	Zm00001d029938	Zm00001d030666
Zm00001d030916	Zm00001d031014	Zm00001d031847	Zm00001d030004	Zm00001d030690
Zm00001d030920	Zm00001d031018	Zm00001d031893	Zm00001d030009	Zm00001d030694
Zm00001d030935	Zm00001d031019	Zm00001d031938	Zm00001d030021	Zm00001d030701
Zm00001d030942	Zm00001d031053	Zm00001d031973	Zm00001d030094	Zm00001d030717
Zm00001d030944	Zm00001d031091	Zm00001d031975	Zm00001d030095	Zm00001d030739
Zm00001d030953	Zm00001d031098	Zm00001d031977	Zm00001d030126	Zm00001d030750
Zm00001d030972	Zm00001d031115	Zm00001d032022	Zm00001d030130	Zm00001d030760
Zm00001d030993	Zm00001d031127	Zm00001d032056	Zm00001d030138	Zm00001d030770
Zm00001d031002	Zm00001d031130	Zm00001d032058	Zm00001d030149	Zm00001d030784
Zm00001d031014	Zm00001d031136	Zm00001d032069	Zm00001d030157	Zm00001d030786
Zm00001d031019	Zm00001d031211	Zm00001d032073	Zm00001d030163	Zm00001d030819
Zm00001d031050	Zm00001d031256	Zm00001d032096	Zm00001d030194	Zm00001d030863
Zm00001d031062	Zm00001d031259	Zm00001d032156	Zm00001d030232	Zm00001d030868
Zm00001d031072	Zm00001d031265	Zm00001d032157	Zm00001d030248	Zm00001d030893
Zm00001d031077	Zm00001d031279	Zm00001d032186	Zm00001d030270	Zm00001d030894
Zm00001d031088	Zm00001d031332	Zm00001d032188	Zm00001d030323	Zm00001d030900
Zm00001d031101	Zm00001d031338	Zm00001d032223	Zm00001d030438	Zm00001d030916
Zm00001d031115	Zm00001d031345	Zm00001d032232	Zm00001d030508	Zm00001d030920
Zm00001d031118	Zm00001d031427	Zm00001d032256	Zm00001d030523	Zm00001d030938
Zm00001d031253	Zm00001d031481	Zm00001d032261	Zm00001d030526	Zm00001d030944
Zm00001d031254	Zm00001d031490	Zm00001d032266	Zm00001d030532	Zm00001d030953
Zm00001d031256	Zm00001d031525	Zm00001d032279	Zm00001d030572	Zm00001d030969
Zm00001d031315	Zm00001d031530	Zm00001d032280	Zm00001d030732	Zm00001d030972
Zm00001d031412	Zm00001d031532	Zm00001d032282	Zm00001d030760	Zm00001d030996
Zm00001d031418	Zm00001d031533	Zm00001d032311	Zm00001d030770	Zm00001d031014
Zm00001d031429	Zm00001d031572	Zm00001d032361	Zm00001d030786	Zm00001d031018
Zm00001d031447	Zm00001d031580	Zm00001d032367	Zm00001d030803	Zm00001d031028
Zm00001d031451	Zm00001d031589	Zm00001d032370	Zm00001d030814	Zm00001d031050
Zm00001d031494	Zm00001d031647	Zm00001d032376	Zm00001d030819	Zm00001d031057
Zm00001d031539	Zm00001d031667	Zm00001d032402	Zm00001d030863	Zm00001d031059
Zm00001d031554	Zm00001d031674	Zm00001d032404	Zm00001d030868	Zm00001d031077
Zm00001d031570	Zm00001d031676	Zm00001d032442	Zm00001d030894	Zm00001d031109
Zm00001d031580	Zm00001d031678	Zm00001d032472	Zm00001d030900	Zm00001d031115
Zm00001d031600	Zm00001d031684	Zm00001d032505	Zm00001d030914	Zm00001d031253
Zm00001d031619	Zm00001d031708	Zm00001d032517	Zm00001d030953	Zm00001d031259
Zm00001d031647	Zm00001d031723	Zm00001d032531	Zm00001d030982	Zm00001d031265
Zm00001d031651	Zm00001d031802	Zm00001d032543	Zm00001d030995	Zm00001d031315
Zm00001d031660	Zm00001d031817	Zm00001d032570	Zm00001d030998	Zm00001d031327
Zm00001d031678	Zm00001d031847	Zm00001d032573	Zm00001d030999	Zm00001d031413
Zm00001d031684	Zm00001d031863	Zm00001d032597	Zm00001d031047	Zm00001d031418
Zm00001d031691	Zm00001d031871	Zm00001d032617	Zm00001d031057	Zm00001d031422
Zm00001d031707	Zm00001d031873	Zm00001d032632	Zm00001d031073	Zm00001d031427
Zm00001d031708	Zm00001d031894	Zm00001d032636	Zm00001d031077	Zm00001d031429
Zm00001d031711	Zm00001d031938	Zm00001d032668	Zm00001d031109	Zm00001d031430
Zm00001d031723	Zm00001d031941	Zm00001d032670	Zm00001d031127	Zm00001d031437
